Name:,Properties of Diesel Fuels,,,
,21088,52.2,0.839,NaN
,21097,46.6,NaN,40
,21099,50.7,NaN,NaN
,21100,NaN,NaN,51
,21156,NaN,0.8531,NaN
,21172,49.2,0.8309,NaN
,21291,NaN,0.8646,81
,21317,47.5,0.8124,NaN
,21329,NaN,0.8134,42
,21359,46.4,NaN,46
,21468,46.6,0.8087,63
,21469,NaN,NaN,NaN
,21498,49.2,NaN,NaN
,21511,47.8,NaN,50
,21570,NaN,0.863,NaN
,21572,49.5,0.8533,NaN
,21573,NaN,0.8068,NaN
,21577,48.9,0.852,63
,21578,47.1,NaN,NaN
,21579,NaN,0.8418,NaN
,21580,46.5,0.8391,60
,21581,46.3,0.8537,NaN
,21582,NaN,0.8604,74
,21583,NaN,0.8525,57
,21584,NaN,0.8424,NaN
,21585,NaN,0.8243,57
,21586,48.4,NaN,NaN
,21587,49.6,NaN,56
,21588,NaN,NaN,65
,21589,NaN,0.8268,NaN
,21590,NaN,0.8476,66
,21591,49.7,NaN,NaN
,21592,NaN,0.8547,66
,21593,NaN,NaN,64
,21594,46,NaN,NaN
,21595,45.9,0.8608,NaN
,21596,NaN,0.8461,NaN
,21597,41.9,0.8605,NaN
,21598,40.9,0.8558,62
,21599,NaN,NaN,NaN
,21600,NaN,NaN,NaN
,21601,48.5,0.8408,53
,21602,NaN,NaN,NaN
,21603,NaN,0.8404,NaN
,21604,NaN,0.851,66
,21611,47.3,0.8445,NaN
,21612,NaN,NaN,NaN
,21613,45.5,0.8692,77
,21614,NaN,0.8428,57
,21615,NaN,NaN,59
,21616,47.1,NaN,70
,21617,NaN,0.8487,67
,21618,46.6,NaN,NaN
,21619,NaN,NaN,58
,21620,48.3,NaN,65
,21621,46.2,NaN,NaN
,21622,NaN,0.8505,NaN
,21623,NaN,0.8397,NaN
,21624,46.5,NaN,62
,21625,NaN,NaN,NaN
,21626,NaN,NaN,64
,21628,NaN,NaN,NaN
,21632,46.6,0.8516,NaN
,21649,NaN,NaN,62
,21656,NaN,0.8293,54
,21657,NaN,NaN,NaN
,21658,NaN,0.8569,NaN
,21659,46.1,NaN,62
,21660,NaN,0.8517,NaN
,21661,NaN,0.8384,NaN
,21662,NaN,0.8329,65
,21663,51.4,NaN,NaN
,21664,51.6,0.8325,NaN
,21665,52.7,NaN,62
,21666,51.4,0.8499,NaN
,21667,49.9,NaN,NaN
,21668,NaN,NaN,NaN
,21669,49.7,NaN,NaN
,21670,NaN,0.8514,NaN
,21671,48,0.8408,60
,21672,NaN,0.8588,61
,21673,NaN,0.8597,NaN
,21674,50.5,NaN,61
,21675,NaN,0.8081,NaN
,21676,NaN,NaN,63
,21677,47.8,NaN,NaN
,21685,49.7,0.8554,NaN
,21687,NaN,0.8518,NaN
,21688,47.4,NaN,NaN
,21689,51.5,NaN,65
,21690,49.1,0.8374,NaN
,21691,NaN,0.8347,57
,21692,NaN,NaN,NaN
,21693,NaN,0.834,69
,21694,NaN,NaN,NaN
,21695,NaN,NaN,69
,21696,NaN,NaN,NaN
,21717,NaN,0.8532,NaN
,21718,53.2,0.8607,NaN
,21719,NaN,0.8413,60
,21720,49.1,NaN,52
,21721,NaN,0.844,NaN
,21722,NaN,NaN,NaN
,21723,46.6,0.8429,64
,21724,NaN,0.8437,62
,21725,52.5,0.8466,67
,21726,51,NaN,65
,21727,NaN,NaN,51
,21728,52,NaN,NaN
,21730,53.1,0.8442,81
,21731,NaN,NaN,NaN
,21732,NaN,0.8504,NaN
,21733,46.2,NaN,59
,21734,50.1,NaN,70
,21735,48.5,0.8429,NaN
,21736,49.1,NaN,59
,21737,NaN,NaN,NaN
,21738,NaN,NaN,73
,21739,49.6,NaN,NaN
,21740,NaN,0.8512,NaN
,21741,NaN,0.8561,NaN
,21742,52.4,0.8306,NaN
,21743,NaN,0.8595,NaN
,21744,49,NaN,66
,21745,48.6,NaN,60
,21746,49,0.8483,NaN
,21747,47.2,0.8454,NaN
,21748,47.4,NaN,NaN
,21749,NaN,NaN,NaN
,21750,42.9,0.8283,51
,21751,47,NaN,NaN
,21752,40.3,0.8566,68
,21753,50.1,NaN,NaN
,21754,NaN,NaN,NaN
,21755,NaN,NaN,NaN
,21756,45,NaN,43
,21757,46,NaN,NaN
,21758,44.2,0.8641,NaN
,21759,45,NaN,NaN
,21760,NaN,0.858,70
,21761,NaN,NaN,NaN
,21762,NaN,0.8542,64
,21763,45.3,NaN,NaN
,21764,51.1,NaN,64
,21765,NaN,NaN,NaN
,21766,NaN,0.8672,62
,21767,47.2,0.8338,NaN
,21768,47.4,NaN,59
,21769,NaN,NaN,68
,21770,50.4,0.8422,NaN
,21771,NaN,NaN,NaN
,21772,47.2,0.8606,73
,21773,49.4,0.8531,64
,21782,NaN,NaN,43
,21783,NaN,0.8545,77
,21784,49,NaN,58
,21785,NaN,0.8226,NaN
,21786,NaN,0.8542,NaN
,21790,NaN,0.8203,NaN
,21791,50.1,NaN,68
,21792,NaN,NaN,52
,21793,49.3,0.8386,NaN
,21794,54.7,0.8435,NaN
,21795,59.1,0.8514,65
,21796,NaN,NaN,NaN
,21797,58.3,NaN,49
,21798,NaN,NaN,74
,21799,42,0.8108,NaN
,21800,NaN,NaN,NaN
,21801,NaN,0.8472,63
,21802,44.8,NaN,55
,21804,NaN,NaN,59
,21805,NaN,0.83,NaN
,21806,51,0.835,62
,21807,NaN,0.8405,NaN
,21808,NaN,0.8533,68
,21809,46.7,0.8468,NaN
,21810,48.6,NaN,NaN
,21811,NaN,0.8511,NaN
,21812,49,NaN,NaN
,21813,NaN,0.8562,NaN
,21814,49.7,0.8493,60
,21815,NaN,0.8501,49
,21816,45.4,NaN,NaN
,21817,42.5,0.8459,NaN
,21818,45.1,0.8507,68
,21819,NaN,NaN,62
,21820,NaN,0.837,NaN
,21821,NaN,NaN,NaN
,21822,NaN,NaN,62
,21823,44.9,NaN,62
,21824,NaN,0.8466,54
,21825,NaN,0.8234,NaN
,21826,47.2,0.857,63
,21827,44.7,NaN,NaN
,21828,NaN,NaN,NaN
,21829,NaN,NaN,64
,21830,50.9,0.8443,NaN
,21831,NaN,NaN,NaN
,21832,NaN,0.841,62
,21833,NaN,0.8571,NaN
,21834,56.8,NaN,47
,21835,NaN,0.8478,63
,21836,NaN,0.846,NaN
,21837,54.5,0.8368,NaN
,21838,NaN,NaN,62
,21839,NaN,0.849,66
,21840,NaN,NaN,NaN
,21841,NaN,NaN,NaN
,21842,NaN,0.8117,NaN
,21844,NaN,NaN,41
,21848,48.9,NaN,NaN
,21862,44.7,0.8103,41
,21882,NaN,0.8462,55
,21883,NaN,NaN,47
,21884,60,NaN,NaN
,21885,NaN,0.8453,60
,21886,56.9,NaN,NaN
,21887,46.5,NaN,NaN
,21888,46.7,0.8589,76
,21889,NaN,NaN,62
,21890,NaN,0.8636,87
,21891,NaN,NaN,61
,21951,46.7,0.8466,48
,21957,56.6,NaN,59
,21958,57.6,0.8286,NaN
,21962,47.5,0.7993,53
,21963,50.4,NaN,61
,21965,48.7,0.8618,NaN
,21966,49.6,0.8509,68
,21990,NaN,0.8449,NaN
,21999,NaN,NaN,71
,22053,NaN,0.8536,62
,22054,NaN,NaN,NaN
,22058,51.2,0.8543,82
,22059,NaN,0.8592,NaN
,22063,NaN,0.8501,64
,22117,NaN,NaN,NaN
,22118,NaN,NaN,52
,22132,NaN,0.8387,63
,22133,56.3,NaN,63
,22134,40.7,NaN,51
,22237,NaN,0.8075,NaN
,22238,59.7,NaN,NaN
,22239,NaN,0.8401,63
,22324,55.5,0.8451,NaN
,22363,47.7,0.8064,48
,22410,50.1,0.8481,60
,22411,50.7,NaN,NaN
,22413,42.8,NaN,72
,22419,NaN,0.8284,66
,22439,NaN,0.8677,NaN
,22440,NaN,NaN,80
,22441,NaN,NaN,67
,22460,NaN,NaN,55
,22461,54.2,0.8448,54
,22462,53.7,NaN,54
,22475,50.3,0.8604,NaN
,22478,NaN,0.8458,76
,22479,NaN,NaN,58
,22480,NaN,0.8159,NaN
,22488,50.5,NaN,NaN
,22492,45.6,0.8521,NaN
,22493,48.7,NaN,68
,22502,55.4,0.8399,NaN
,22503,55.5,NaN,65
,22504,NaN,NaN,63
,22554,NaN,NaN,83
,22555,NaN,0.8513,NaN
,22556,56.2,0.845,NaN
,22557,57.4,NaN,61
,22558,NaN,NaN,62
,22559,NaN,NaN,NaN
,22560,NaN,0.8431,55
,22561,NaN,NaN,57
,22562,48.9,0.8565,NaN
,22563,51.3,0.8653,NaN
,22564,50.5,NaN,NaN
,22565,NaN,NaN,NaN
,22566,49.3,0.853,NaN
,22567,NaN,NaN,66
,22568,NaN,0.8567,NaN
,22569,NaN,0.8495,67
,22570,53.6,NaN,70
,22571,46.9,0.8651,NaN
,22572,49.4,0.8541,66
,22573,46.9,NaN,65
,22574,NaN,NaN,NaN
,22575,NaN,NaN,53
,22576,45.8,NaN,67
,22577,NaN,0.8455,NaN
,22578,43.6,NaN,74
,22579,50,0.8453,66
,22580,52.6,NaN,NaN
,22581,51.1,NaN,70
,22582,NaN,0.8521,61
,22583,NaN,NaN,NaN
,22584,50.8,0.8455,NaN
,22585,44.9,0.8608,62
,22586,46.2,0.855,NaN
,22587,47.8,NaN,NaN
,22588,NaN,0.8422,56
,22589,NaN,NaN,58
,22590,NaN,NaN,61
,22591,NaN,NaN,82
,22592,NaN,NaN,NaN
,22593,47,0.8594,61
,22594,48.9,NaN,NaN
,22595,NaN,NaN,NaN
,22596,48.6,NaN,74
,22597,NaN,NaN,NaN
,22598,NaN,0.8464,60
,22599,NaN,NaN,NaN
,22600,NaN,0.8429,NaN
,22601,NaN,NaN,NaN
,22602,52,0.8403,NaN
,22603,49.8,NaN,NaN
,22604,NaN,NaN,78
,22605,NaN,0.862,NaN
,22606,NaN,0.8544,NaN
,22607,52.4,NaN,67
,22608,NaN,0.8662,63
,22609,NaN,NaN,NaN
,22610,NaN,0.8471,NaN
,22611,NaN,NaN,NaN
,22613,47.3,NaN,79
,22614,50.8,0.8579,NaN
,22615,49.5,NaN,65
,22616,49.1,NaN,54
,22617,51.2,0.8382,65
,22618,NaN,NaN,NaN
,22619,NaN,NaN,NaN
,22620,NaN,NaN,62
,22621,NaN,0.864,NaN
,22622,49.6,NaN,60
,22623,49.1,0.8661,70
,22624,NaN,NaN,NaN
,22625,48.5,0.8557,NaN
,22626,50.2,NaN,NaN
,22627,48.2,NaN,NaN
,22641,53.3,NaN,73
,22642,47.5,NaN,69
,22643,48.3,NaN,NaN
,22644,NaN,NaN,64
,22645,48.6,NaN,62
,22646,NaN,NaN,NaN
,22647,48.3,0.8592,NaN
,22648,56.8,0.8378,NaN
,22649,NaN,NaN,68
,22650,NaN,0.8454,NaN
,22651,NaN,NaN,NaN
,22652,NaN,0.8583,64
,22653,49.5,0.8479,67
,22654,51.1,0.8317,70
,22655,NaN,0.8564,NaN
,22656,49.5,NaN,NaN
,22662,NaN,0.8504,NaN
,22663,52.4,NaN,52
,22671,54,0.8502,76
,22672,49.5,0.8489,NaN
,22673,49.8,0.8449,NaN
,22674,48.8,NaN,62
,22675,NaN,0.8605,64
,22687,49.3,NaN,60
,22688,48.2,NaN,74
,22698,NaN,0.8447,79
,22709,NaN,0.8553,NaN
,22710,49.5,0.84,65
,22721,50.6,0.8465,63
,22748,NaN,NaN,74
,22751,46.6,0.8115,NaN
,22752,52.7,0.8417,NaN
,22753,NaN,NaN,69
,22754,50.7,0.8434,66
,22755,NaN,0.8633,NaN
,22798,NaN,0.8587,NaN
,22799,NaN,0.8445,60
,22800,NaN,NaN,NaN
,22801,NaN,NaN,NaN
,22802,50.4,NaN,77
,22803,49.1,NaN,NaN
,22804,47.9,0.8578,59
,22805,48.8,NaN,NaN
,22806,49.6,0.851,NaN
,22807,NaN,0.8564,67
,22808,48.2,0.8537,NaN
,22809,NaN,NaN,63
,22810,NaN,NaN,NaN
,22811,NaN,0.8627,68
,22812,NaN,NaN,58
,22813,48.5,NaN,NaN
,22814,NaN,0.8728,75
,22815,55.1,0.85,69
,22817,NaN,0.8592,64
,22818,NaN,NaN,65
,22819,NaN,0.8498,65
,22820,NaN,NaN,NaN
,22821,NaN,NaN,68
,22822,NaN,NaN,NaN
,22823,NaN,NaN,59
,22824,NaN,0.8527,NaN
,22825,49.9,0.8508,NaN
,22826,48.9,NaN,NaN
,22827,43.8,0.8681,NaN
,22828,49.2,0.8552,64
,22829,NaN,0.8545,61
,22830,47,NaN,NaN
,22831,NaN,NaN,66
,22832,48.2,NaN,NaN
,22833,51.5,0.8345,73
,22834,49.6,NaN,72
,22835,48.3,NaN,NaN
,22836,48.6,NaN,70
,22837,NaN,NaN,96
,22838,46.8,NaN,NaN
,22839,NaN,0.8469,23
,22840,51.6,NaN,65
,22841,NaN,0.8706,NaN
,22842,46.8,NaN,NaN
,22843,NaN,NaN,NaN
,22844,48.6,NaN,68
,22845,NaN,NaN,NaN
,22846,NaN,NaN,59
,22847,NaN,NaN,NaN
,22848,NaN,0.8337,NaN
,22849,50.7,NaN,53
,22850,NaN,NaN,65
,22851,NaN,0.8541,NaN
,22852,NaN,NaN,64
,22853,50.3,NaN,68
,22854,NaN,0.8366,58
,22855,NaN,0.8522,62
,22856,47.6,NaN,67
,22857,49,NaN,65
,22859,47.6,0.8444,NaN
,22860,48.1,NaN,NaN
,22861,50.4,NaN,NaN
,22862,52.1,NaN,NaN
,22863,47.5,NaN,NaN
,22864,50.7,0.8327,60
,22865,NaN,0.8482,NaN
,22866,NaN,0.8593,65
,22867,NaN,0.8427,NaN
,22868,NaN,0.8491,NaN
,22869,NaN,NaN,NaN
,22870,45.6,NaN,NaN
,22871,48.8,0.8485,NaN
,22872,NaN,0.8431,NaN
,22873,45.9,NaN,NaN
,22874,NaN,NaN,62
,22875,52.8,0.8333,NaN
,22876,50,0.8516,61
,22877,NaN,NaN,NaN
,22878,48.7,0.8535,65
,22879,NaN,0.8524,61
,22880,NaN,NaN,NaN
,22881,47.4,0.8494,NaN
,22882,48.1,NaN,59
,22883,NaN,NaN,58
,22884,NaN,0.8531,NaN
,22885,NaN,0.8555,NaN
,22886,NaN,NaN,NaN
,22887,NaN,0.8536,NaN
,22888,NaN,NaN,61
,22889,47.9,0.8487,NaN
,22890,56,NaN,NaN
,22891,48.8,0.8473,NaN
,22894,NaN,0.8613,70
,22895,57,0.838,66
,22896,NaN,NaN,71
,22921,47.6,NaN,NaN
,22940,NaN,NaN,NaN
,22941,NaN,NaN,NaN
,22942,NaN,0.8316,NaN
,22943,44.9,0.8666,NaN
,22944,NaN,NaN,50
,22946,49.4,NaN,NaN
,22948,NaN,0.8078,42
,22955,NaN,0.8422,56
,22956,NaN,NaN,NaN
,22971,51.2,NaN,NaN
,22982,41.2,0.8125,NaN
,22983,58.2,0.8278,NaN
,23008,NaN,NaN,49
,23009,44.7,0.815,46
,23058,46,NaN,NaN
,23085,NaN,0.8182,NaN
,23086,NaN,0.8518,61
,23203,49.4,NaN,71
,23204,NaN,0.8468,69
,23338,NaN,NaN,NaN
,23390,NaN,NaN,68
,23392,NaN,0.8318,NaN
,23393,40.1,NaN,NaN
,23396,NaN,NaN,NaN
,23397,44.5,0.805,40
,23402,45.7,0.8173,56
,23405,52.5,0.8583,76
,23406,NaN,0.8615,79
,23407,NaN,0.8572,NaN
,23409,52.3,0.8222,50
,23410,53,0.8314,NaN
,23415,42.4,0.8119,38
,23416,NaN,NaN,NaN
,23437,48.7,NaN,66
,23442,NaN,NaN,NaN
,23496,48.3,0.8556,NaN
,23507,NaN,0.8132,NaN
,23509,NaN,NaN,68
,23516,48.3,NaN,69
,23521,51.9,NaN,58
,23526,NaN,NaN,63
,23527,NaN,NaN,59
,23528,49.2,NaN,69
,23529,49.6,0.8577,NaN
,23531,NaN,NaN,NaN
,23532,45.9,NaN,71
,23533,52.9,0.8427,NaN
,23534,49.8,NaN,64
,23535,NaN,NaN,62
,23536,NaN,0.8539,NaN
,23537,48.8,0.8493,NaN
,23538,NaN,NaN,63
,23539,49.3,0.8098,48
,23540,46,NaN,NaN
,23556,NaN,0.855,NaN
,23557,NaN,NaN,73
,23571,NaN,NaN,69
,23629,NaN,NaN,NaN
,23741,54.6,0.8362,65
,23742,NaN,NaN,NaN
,23743,NaN,0.8379,61
,23744,55.3,0.8396,62
,23745,NaN,NaN,NaN
,23746,58,0.8463,63
,23747,NaN,0.8272,66
,23748,47.5,0.8413,NaN
,23749,NaN,NaN,NaN
,23750,50.3,NaN,57
,23751,54.9,NaN,NaN
,23752,NaN,NaN,NaN
,23753,51.2,0.8538,63
,23754,49,NaN,70
,23755,50.9,NaN,68
,23757,50.3,NaN,53
,23758,51,NaN,NaN
,23759,50.4,0.8574,NaN
,23843,NaN,NaN,69
,23851,NaN,0.8141,NaN
,23984,NaN,0.7943,NaN
,23989,51.2,0.7958,40
,24051,50.9,0.8003,41
,24093,51.5,NaN,44
,24095,NaN,NaN,57
,24103,NaN,NaN,NaN
,24134,50.6,0.7969,NaN
,24143,50.1,0.8102,54
,24147,NaN,0.8512,NaN
,24253,NaN,0.8433,NaN
,24260,NaN,NaN,NaN
,24282,NaN,NaN,NaN
,24284,NaN,NaN,57
,24293,NaN,0.8576,NaN
,24317,NaN,NaN,71
,24323,NaN,NaN,NaN
,24326,NaN,0.8096,56
,24329,NaN,NaN,55
,24330,NaN,0.8546,NaN
,24331,NaN,NaN,NaN
,24353,NaN,NaN,62
,24361,NaN,NaN,52
,24364,NaN,NaN,NaN
,24365,NaN,0.8475,59
,24366,NaN,NaN,NaN
,24367,NaN,NaN,56
,24368,NaN,0.8111,51
,24369,NaN,0.8108,NaN
,24371,NaN,0.8169,55
,24373,NaN,NaN,39
,24375,NaN,0.8179,NaN
,24376,NaN,NaN,NaN
,24378,NaN,NaN,68
,24379,NaN,NaN,67
,24380,NaN,NaN,NaN
,24383,NaN,0.8496,68
,24384,NaN,0.8476,80
